Producto1Cantidad,Producto2Cantidad,Producto3Cantidad,CiudadSucursal,ClienteNombre,DescuentoVenta,DireccionCliente,EdadCliente,EmailCliente,Año,Trimestre,Mes,Día,GeneroCliente,HoraVenta,Producto2Marca,Producto3Marca,MetodoPago,Producto1Nombre,Producto2Nombre,Producto3Nombre,Producto1Marca,Producto1PrecioUnitario,Producto2PrecioUnitario,Producto3PrecioUnitario,Producto1Subtotal,Producto2Subtotal,Producto3Subtotal,SucursalNombre,TelefonoCliente,TotalVenta,VendedorNombre,VentaID,AñoVenta,EmailValido,MesNumero,MesVenta
1,0,0,Bogota,Abigaíl Ros Armengol,0,cra 22 #12-3,37,abigaíl47@yahoo.com,2020,Qtr 1,febrero,21,F,1899-12-30 23:30:32,"","",Efectivo,Lenovo ThinkPad X1 Carbon,"","",Lenovo,6800000,0,0,6800000,0,0,TechCore Bogota #1,'+34 888 11 57 46,68000000,Poncio Gabriel Poza Acedo,13986,2020,true,2,febrero
1,0,0,Bogota,Abilio Escudero,0,cll 20 #99-87,21,abilio13@gmail.com,2022,Qtr 1,febrero,12,M,1899-12-30 12:55:27,"","",Tarjeta Débito,Lenovo IdeaPad 5,"","",Lenovo,2800000,0,0,2800000,0,0,TechCore Bogota #1,'+34806 205 885,28000000,Griselda Arnaiz Palacio,6511,2022,true,2,febrero
1,0,0,Bogota,Abilio Paredes,0,cra 63 #52-18,49,abilio93@hotmail.com,2023,Qtr 4,diciembre,7,M,1899-12-30 23:17:14,"","",Tarjeta Crédito,Apple MacBook Air M1,"","",Apple,5500000,0,0,5500000,0,0,TechCore Bogota #2,'+34873 35 00 30,55000000,Edu Juan Pedraza,10318,2023,true,12,diciembre
1,0,0,Bogota,Abraham Lastra Fabregat,5,cll 67 #60-99,31,abraham83@yahoo.com,2020,Qtr 4,diciembre,16,M,1899-12-30 09:51:33,"","",Billetera Digital,Asus VivoBook 15,"","",Asus,2400000,0,0,2400000,0,0,TechCore Bogota #1,'+34900 08 17 09,22800000,Griselda Arnaiz Palacio,1522,2020,true,12,diciembre
1,0,0,Bogota,Abraham Valentín Leon,0,cll 94 #22-49,26,"",2025,Qtr 2,abril,11,M,1899-12-30 07:10:33,"","",Billetera Digital,Lenovo Yoga 7i,"","",Lenovo,4400000,0,0,4400000,0,0,TechCore Bogota #1,'+34 901 273 870,44000000,Griselda Arnaiz Palacio,8657,2025,true,4,abril
1,0,0,Bogota,Abril Baquero-Velasco,1,cra 31 #47-86,43,abril45@yahoo.com,2024,Qtr 4,noviembre,13,F,1899-12-30 19:11:47,"","",Tarjeta Débito,HP Spectre x360,"","",HP,5200000,0,0,5200000,0,0,TechCore Bogota #2,'+34874 65 25 77,46800000,Herminia Meléndez-Huguet,6287,2024,true,11,noviembre
1,0,0,Bogota,Adalberto Jonatan Rivera Porta,1,cll 72 #37-2,43,adalberto40@yahoo.com,2023,Qtr 1,febrero,17,M,1899-12-30 00:37:29,"","",Tarjeta Débito,Asus VivoBook 15,"","",Asus,2400000,0,0,2400000,0,0,TechCore Bogota #1,'+34 945393160,21600000,Poncio Gabriel Poza Acedo,29354,2023,true,2,febrero
1,0,0,Bogota,Adán Valenzuela Cases,0,cll 29 #48-52,46,adán68@gmail.com,2014,Qtr 4,diciembre,17,M,1899-12-30 00:21:28,"","",No especificado,Dell Inspiron 15,"","",Dell,3000000,0,0,3000000,0,0,TechCore Bogota #1,'+34 985 966 321,30000000,María Belén Alegria Camps,23540,2014,true,12,diciembre
1,0,0,Bogota,Adela Flores Losa,5,cra 92 #12-92,38,adela18@yahoo.com,2018,Qtr 3,septiembre,9,F,1899-12-30 08:52:08,"","",Tarjeta Débito,Asus ZenBook 14,"","",Asus,3800000,0,0,3800000,0,0,TechCore Bogota #2,'+34825 74 33 32,36100000,Herminia Meléndez-Huguet,6849,2018,true,9,septiembre
1,0,0,Bogota,Adelardo Bernad,5,cll 88 #4-34,21,adelardo3@hotmail.com,2022,Qtr 1,enero,28,M,1899-12-30 18:59:36,"","",Transferencia,Dell Latitude 7420,"","",Dell,5600000,0,0,5600000,0,0,TechCore Bogota #1,'+34973913286,53200000,Evaristo Guillen Peña,22183,2022,true,1,enero
1,0,0,Bogota,Adelardo Donaire Solana,0,cra 80 #82-70,37,adelardo69@hotmail.com,2021,Qtr 1,marzo,10,M,1899-12-30 21:23:35,"","",Efectivo,Acer Aspire 5,"","",Acer,2000000,0,0,2000000,0,0,TechCore Bogota #2,'+34749 794 370,20000000,Eloísa Plaza Hurtado,1603,2021,true,3,marzo
1,0,0,Bogota,Adelia Novoa,5,cll 65 #14-84,18,"",2020,Qtr 3,septiembre,4,F,1899-12-30 12:52:38,"","",Tarjeta Crédito,HP Spectre x360,"","",HP,5200000,0,0,5200000,0,0,TechCore Bogota #2,'+34806 475 662,49400000,Eloísa Plaza Hurtado,20880,2020,true,9,septiembre
1,0,0,Bogota,Adelina Diéguez,0,cra 3 #88-48,43,"",2018,Qtr 2,abril,21,F,1899-12-30 14:17:06,"","",Tarjeta Crédito,Apple MacBook Pro 16,"","",Apple,9600000,0,0,9600000,0,0,TechCore Bogota #1,'+34 973 87 15 32,96000000,Poncio Gabriel Poza Acedo,27020,2018,true,4,abril
1,0,0,Bogota,Adolfo Pombo Lucas,0,cra 42 #8-4,20,adolfo47@gmail.com,2015,Qtr 1,marzo,2,M,1899-12-30 00:43:41,"","",Tarjeta Débito,Dell Inspiron 15,"","",Dell,3000000,0,0,3000000,0,0,TechCore Bogota #2,'+34987 354 069,30000000,Olivia Armas Ayuso,20107,2015,true,3,marzo
1,0,0,Bogota,Adolfo Villar Luís,15,cra 57 #29-24,27,adolfo54@yahoo.com,2015,Qtr 1,marzo,1,M,1899-12-30 17:41:07,"","",Tarjeta Crédito,HP Pavilion 15,"","",HP,3500000,0,0,3500000,0,0,TechCore Bogota #2,'+34 967 853 992,29750000,Eloísa Plaza Hurtado,23880,2015,true,3,marzo
1,0,0,Bogota,Adoración Ibarra Olmo,0,cll 40 #14-28,41,adoración86@yahoo.com,2024,Qtr 4,octubre,14,F,1899-12-30 07:01:21,"","",Tarjeta Crédito,Lenovo Yoga 7i,"","",Lenovo,4400000,0,0,4400000,0,0,TechCore Bogota #1,'+34941 71 86 48,44000000,Aura del Bermúdez,19315,2024,true,10,octubre
1,0,0,Bogota,Adrián Bravo Paredes,0,cra 57 #80-78,27,adrián22@hotmail.com,2022,Qtr 1,febrero,26,M,1899-12-30 15:44:48,"","",Tarjeta Crédito,Asus ZenBook 14,"","",Asus,3800000,0,0,3800000,0,0,TechCore Bogota #1,'+34 667 38 94 77,38000000,Griselda Arnaiz Palacio,9955,2022,true,2,febrero
1,0,0,Bogota,Adrián Luna Mosquera,0,cll 91 #88-8,49,adrián90@yahoo.com,2017,Qtr 2,abril,21,M,1899-12-30 10:20:21,"","",Efectivo,Apple MacBook Pro 14,"","",Apple,8000000,0,0,8000000,0,0,TechCore Bogota #2,'+34 902 77 37 48,80000000,Eloísa Plaza Hurtado,6645,2017,true,4,abril
1,0,0,Bogota,Adriana Carro Piña,1,cra 46 #33-75,23,adriana74@gmail.com,2021,Qtr 1,enero,3,F,1899-12-30 23:44:53,"","",Tarjeta Crédito,HP Omen 16,"","",HP,6000000,0,0,6000000,0,0,TechCore Bogota #2,'+34 973668065,54000000,Herminia Meléndez-Huguet,5796,2021,true,1,enero
1,0,0,Bogota,Adriana Filomena Sáez Posada,5,cra 84 #99-99,45,adriana66@hotmail.com,2016,Qtr 4,diciembre,25,F,1899-12-30 04:14:53,"","",Tarjeta Crédito,Acer Aspire 5,"","",Acer,2000000,0,0,2000000,0,0,TechCore Bogota #2,'+34 942877350,19000000,Edu Juan Pedraza,654,2016,true,12,diciembre
1,0,0,Bogota,Adriana Flor Vallejo,0,cra 62 #89-85,48,adriana59@hotmail.com,2024,Qtr 1,enero,2,F,1899-12-30 02:42:40,"","",No especificado,HP Envy 13,"","",HP,4000000,0,0,4000000,0,0,TechCore Bogota #2,'+34 901947998,40000000,Eloísa Plaza Hurtado,21967,2024,true,1,enero
1,0,0,Bogota,Agapito Escalona,0,cll 33 #99-86,45,agapito19@hotmail.com,2023,Qtr 2,mayo,6,M,1899-12-30 16:12:31,"","",Tarjeta Crédito,Lenovo ThinkPad X1 Carbon,"","",Lenovo,6800000,0,0,6800000,0,0,TechCore Bogota #1,'+34 973 76 05 05,68000000,María Belén Alegria Camps,7060,2023,true,5,mayo
1,0,0,Bogota,Agapito Escalona,0,cll 33 #99-86,45,agapito19@hotmail.com,2024,Qtr 2,mayo,14,M,1899-12-30 10:44:17,"","",Billetera Digital,Dell Inspiron 15,"","",Dell,3000000,0,0,3000000,0,0,TechCore Bogota #1,'+34 973 76 05 05,30000000,Griselda Arnaiz Palacio,17014,2024,true,5,mayo
1,0,0,Bogota,Agapito Mur Guillen,0,cll 18 #50-91,45,agapito43@hotmail.com,2018,Qtr 4,diciembre,13,M,1899-12-30 00:23:52,"","",Tarjeta Crédito,Apple MacBook Air M1,"","",Apple,5500000,0,0,5500000,0,0,TechCore Bogota #1,'+34 713310344,55000000,Aura del Bermúdez,10043,2018,true,12,diciembre
1,0,0,Bogota,Ágata Escrivá Pol,0,cra 87 #55-31,22,"",2025,Qtr 1,marzo,23,F,1899-12-30 19:51:09,"","",No especificado,Dell XPS 13,"","",Dell,4800000,0,0,4800000,0,0,TechCore Bogota #1,'+34 823744160,48000000,María Belén Alegria Camps,2741,2025,true,3,marzo
1,0,0,Bogota,Agustín Carrasco Prieto,0,cra 71 #94-6,45,agustín40@hotmail.com,2019,Qtr 3,agosto,10,M,1899-12-30 02:17:21,"","",Tarjeta Débito,Lenovo Yoga 7i,"","",Lenovo,4400000,0,0,4400000,0,0,TechCore Bogota #1,'+34881151879,44000000,María Belén Alegria Camps,11026,2019,true,8,agosto
1,0,0,Bogota,Agustina Valcárcel Marco,0,cll 54 #89-41,25,agustina17@hotmail.com,2025,Qtr 2,junio,16,F,1899-12-30 19:32:20,"","",Tarjeta Crédito,HP Spectre x360,"","",HP,5200000,0,0,5200000,0,0,TechCore Bogota #1,'+34872314755,52000000,Poncio Gabriel Poza Acedo,921,2025,true,6,junio
1,0,0,Bogota,Ainara Moraleda Cabezas,0,cra 22 #24-41,41,ainara31@hotmail.com,2023,Qtr 4,noviembre,20,F,1899-12-30 16:06:57,"","",Tarjeta Crédito,Lenovo ThinkPad X1 Carbon,"","",Lenovo,6800000,0,0,6800000,0,0,TechCore Bogota #1,'+34825 005 571,68000000,María Belén Alegria Camps,4605,2023,true,11,noviembre
1,0,0,Bogota,Ainara Pascual Benavent,0,cra 53 #53-46,40,ainara85@yahoo.com,2018,Qtr 1,febrero,19,F,1899-12-30 06:53:31,"","",Transferencia,Asus VivoBook 15,"","",Asus,2400000,0,0,2400000,0,0,TechCore Bogota #1,'+34818 21 65 77,24000000,Poncio Gabriel Poza Acedo,14051,2018,true,2,febrero
1,0,0,Bogota,Aitana de Capdevila,0,cra 81 #80-14,28,aitana54@hotmail.com,2023,Qtr 4,diciembre,21,F,1899-12-30 11:40:56,"","",No especificado,Dell Latitude 7420,"","",Dell,5600000,0,0,5600000,0,0,TechCore Bogota #2,'+34971802711,56000000,Armida Azorin Plaza,23152,2023,true,12,diciembre
1,0,0,Bogota,Aitor Segura Tolosa,0,cll 71 #62-17,35,aitor96@yahoo.com,2024,Qtr 2,mayo,29,M,1899-12-30 22:04:42,"","",Tarjeta Crédito,HP Envy 13,"","",HP,4000000,0,0,4000000,0,0,TechCore Bogota #1,'+34 947825029,40000000,Poncio Gabriel Poza Acedo,24698,2024,true,5,mayo
1,0,0,Bogota,Albano de Criado,0,cll 44 #24-29,49,albano88@yahoo.com,2019,Qtr 3,julio,12,M,1899-12-30 02:02:50,"","",Tarjeta Débito,HP Pavilion 15,"","",HP,3500000,0,0,3500000,0,0,TechCore Bogota #2,'+34 961 43 01 26,35000000,Herminia Meléndez-Huguet,650,2019,true,7,julio
1,0,0,Bogota,Albano del Tomas,5,cll 64 #52-89,21,albano41@yahoo.com,2021,Qtr 4,octubre,19,M,1899-12-30 00:54:37,"","",Billetera Digital,HP Spectre x360,"","",HP,5200000,0,0,5200000,0,0,TechCore Bogota #2,'+34984 833 090,49400000,Armida Azorin Plaza,26387,2021,true,10,octubre
1,0,0,Bogota,Albano Guardia Cánovas,0,cra 62 #23-68,20,albano22@hotmail.com,2023,Qtr 1,enero,24,M,1899-12-30 11:08:29,"","",Efectivo,HP Omen 16,"","",HP,6000000,0,0,6000000,0,0,TechCore Bogota #2,'+34 879 10 22 93,60000000,Edu Juan Pedraza,13301,2023,true,1,enero
1,0,0,Bogota,Albano Guzmán Huguet,0,cll 91 #28-35,39,albano68@hotmail.com,2017,Qtr 3,julio,7,M,1899-12-30 12:00:34,"","",Efectivo,Dell Inspiron 15,"","",Dell,3000000,0,0,3000000,0,0,TechCore Bogota #1,'+34 736256269,30000000,Poncio Gabriel Poza Acedo,23273,2017,true,7,julio
1,0,0,Bogota,Alberto Alcántara Mínguez,0,cra 75 #59-42,25,alberto52@gmail.com,2022,Qtr 1,marzo,9,M,1899-12-30 08:29:05,"","",Transferencia,Apple MacBook Pro 14,"","",Apple,8000000,0,0,8000000,0,0,TechCore Bogota #2,'+34884 16 42 70,80000000,Eloísa Plaza Hurtado,22875,2022,true,3,marzo
1,0,0,Bogota,Alberto Manso,0,cll 15 #49-53,28,alberto63@gmail.com,2020,Qtr 4,diciembre,24,M,1899-12-30 10:41:50,"","",Tarjeta Crédito,Dell XPS 13,"","",Dell,4800000,0,0,4800000,0,0,TechCore Bogota #2,'+34 816 328 243,48000000,Armida Azorin Plaza,18378,2020,true,12,diciembre
1,0,0,Bogota,Alberto Salvador Rodrigo Abascal,0,cll 60 #57-88,20,alberto99@hotmail.com,2022,Qtr 2,abril,25,M,1899-12-30 14:38:30,"","",Tarjeta Crédito,HP Spectre x360,"","",HP,5200000,0,0,5200000,0,0,TechCore Bogota #2,'+34827 01 37 63,52000000,Edu Juan Pedraza,11786,2022,true,4,abril
1,0,0,Bogota,Albina Gil,0,cra 45 #89-7,45,albina16@hotmail.com,2017,Qtr 1,marzo,24,F,1899-12-30 18:58:20,"","",Billetera Digital,Dell XPS 13,"","",Dell,4800000,0,0,4800000,0,0,TechCore Bogota #1,'+34 925 55 80 43,48000000,Griselda Arnaiz Palacio,3794,2017,true,3,marzo
1,0,0,Bogota,Albina Jacinta Izaguirre Goñi,1,cll 42 #94-31,20,albina87@yahoo.com,2024,Qtr 1,enero,11,F,1899-12-30 16:47:31,"","",Tarjeta Crédito,Dell XPS 13,"","",Dell,4800000,0,0,4800000,0,0,TechCore Bogota #2,'+34 986263239,43200000,Eloísa Plaza Hurtado,29289,2024,true,1,enero
1,0,0,Bogota,Albino Garay-Planas,0,cra 88 #59-2,49,albino75@gmail.com,2023,Qtr 2,junio,13,M,1899-12-30 19:25:35,"","",Tarjeta Crédito,Lenovo IdeaPad 5,"","",Lenovo,2800000,0,0,2800000,0,0,TechCore Bogota #1,'+34 880 76 00 89,28000000,Poncio Gabriel Poza Acedo,21477,2023,true,6,junio
1,0,0,Bogota,Ale Calderón Simó,1,cra 22 #46-64,33,ale23@hotmail.com,2025,Qtr 2,mayo,21,F,1899-12-30 20:22:22,"","",Tarjeta Débito,Samsung Galaxy Chromebook 2,"","",Samsung,2000000,0,0,2000000,0,0,TechCore Bogota #2,'+34 820 62 82 38,18000000,Eloísa Plaza Hurtado,1056,2025,true,5,mayo
1,0,0,Bogota,Ale Moll Alberto,15,cll 14 #71-14,50,ale55@gmail.com,2015,Qtr 1,enero,14,F,1899-12-30 08:04:48,"","",Tarjeta Débito,Lenovo ThinkPad X1 Carbon,"","",Lenovo,6800000,0,0,6800000,0,0,TechCore Bogota #1,'+34958 864 095,57800000,Poncio Gabriel Poza Acedo,27076,2015,true,1,enero
1,0,0,Bogota,Ale Puente Doménech,0,cra 46 #64-60,38,ale48@yahoo.com,2023,Qtr 3,julio,15,M,1899-12-30 22:35:42,"","",Transferencia,Lenovo IdeaPad 5,"","",Lenovo,2800000,0,0,2800000,0,0,TechCore Bogota #2,'+34 921 47 36 60,28000000,Herminia Meléndez-Huguet,14016,2023,true,7,julio
1,0,0,Bogota,Ale Solano Pelayo,0,cll 23 #29-19,31,ale42@hotmail.com,2025,Qtr 2,mayo,19,M,1899-12-30 12:47:23,"","",Billetera Digital,Dell Latitude 7420,"","",Dell,5600000,0,0,5600000,0,0,TechCore Bogota #2,'+34943780903,56000000,Herminia Meléndez-Huguet,13832,2025,true,5,mayo
1,0,0,Bogota,Ale Solano Pelayo,5,cll 23 #29-19,31,ale42@hotmail.com,2016,Qtr 3,julio,24,M,1899-12-30 13:44:14,"","",Tarjeta Crédito,Lenovo Yoga 7i,"","",Lenovo,4400000,0,0,4400000,0,0,TechCore Bogota #1,'+34943780903,41800000,Poncio Gabriel Poza Acedo,2048,2016,true,7,julio
1,0,0,Bogota,Ale Soria Vilar,0,cll 42 #36-6,27,ale96@hotmail.com,2019,Qtr 1,febrero,23,F,1899-12-30 12:01:42,"","",Transferencia,Asus ZenBook 14,"","",Asus,3800000,0,0,3800000,0,0,TechCore Bogota #2,'+34988 35 80 80,38000000,Armida Azorin Plaza,23120,2019,true,2,febrero
1,0,0,Bogota,Alejandro Boix García,0,cra 72 #62-59,51,alejandro53@hotmail.com,2019,Qtr 1,febrero,3,M,1899-12-30 21:01:04,"","",Tarjeta Débito,Dell XPS 13,"","",Dell,4800000,0,0,4800000,0,0,TechCore Bogota #1,'+34900484363,48000000,Griselda Arnaiz Palacio,19058,2019,true,2,febrero
1,0,0,Bogota,Alex de Agustín,5,cll 69 #29-7,43,alex94@yahoo.com,2024,Qtr 4,octubre,16,M,1899-12-30 08:32:38,"","",Efectivo,Lenovo Yoga 7i,"","",Lenovo,4400000,0,0,4400000,0,0,TechCore Bogota #2,'+34974266119,41800000,Herminia Meléndez-Huguet,11073,2024,true,10,octubre
1,0,0,Bogota,Alex del Barba,1,cra 74 #92-12,32,alex58@hotmail.com,2022,Qtr 3,julio,5,M,1899-12-30 09:04:26,"","",Tarjeta Crédito,Samsung Galaxy Book Pro,"","",Samsung,4800000,0,0,4800000,0,0,TechCore Bogota #2,'+34710859450,43200000,Eloísa Plaza Hurtado,18782,2022,true,7,julio
1,0,0,Bogota,Alex Mayol Neira,0,cra 86 #9-81,36,alex90@gmail.com,2015,Qtr 2,mayo,23,M,1899-12-30 05:24:58,"","",Tarjeta Crédito,Lenovo ThinkPad X1 Carbon,"","",Lenovo,6800000,0,0,6800000,0,0,TechCore Bogota #1,'+34807 478 392,68000000,Aura del Bermúdez,7185,2015,true,5,mayo
1,0,0,Bogota,Alexandra Calatayud Miguel,0,cra 68 #50-88,28,alexandra92@yahoo.com,2015,Qtr 4,diciembre,20,F,1899-12-30 18:09:24,"","",Tarjeta Crédito,HP Omen 16,"","",HP,6000000,0,0,6000000,0,0,TechCore Bogota #1,'+34 848305567,60000000,Evaristo Guillen Peña,23706,2015,true,12,diciembre
1,0,0,Bogota,Alexandra Expósito Zabala,0,cll 16 #91-30,41,alexandra20@hotmail.com,2023,Qtr 3,septiembre,28,F,1899-12-30 01:07:45,"","",Efectivo,Apple MacBook Air M1,"","",Apple,5500000,0,0,5500000,0,0,TechCore Bogota #1,'+34 922708432,55000000,Aura del Bermúdez,22003,2023,true,9,septiembre
1,0,0,Bogota,Alfonso Cuenca Estévez,0,cra 71 #55-16,29,"",2020,Qtr 2,mayo,13,M,1899-12-30 18:40:46,"","",Efectivo,HP Spectre x360,"","",HP,5200000,0,0,5200000,0,0,TechCore Bogota #1,'+34948181268,52000000,Evaristo Guillen Peña,26433,2020,true,5,mayo
1,0,0,Bogota,Alfonso Velázquez Malo,0,cra 4 #76-98,31,alfonso20@gmail.com,2025,Qtr 3,agosto,16,M,1899-12-30 12:23:00,"","",Transferencia,Lenovo IdeaPad 5,"","",Lenovo,2800000,0,0,2800000,0,0,TechCore Bogota #2,'+34 872 217 956,28000000,Olivia Armas Ayuso,29864,2025,true,8,agosto
1,0,0,Bogota,Alfredo Alba Macias,0,cra 56 #55-21,42,alfredo14@gmail.com,2017,Qtr 4,diciembre,29,M,1899-12-30 18:51:52,"","",Tarjeta Débito,Acer Swift 3,"","",Acer,2600000,0,0,2600000,0,0,TechCore Bogota #1,'+34845 063 707,26000000,María Belén Alegria Camps,17437,2017,true,12,diciembre
1,0,0,Bogota,Alfredo Cuervo Sedano,0,cra 96 #12-38,24,alfredo5@gmail.com,2020,Qtr 2,junio,5,M,1899-12-30 05:27:06,"","",Tarjeta Crédito,Apple MacBook Air M1,"","",Apple,5500000,0,0,5500000,0,0,TechCore Bogota #1,'+34980653155,55000000,Griselda Arnaiz Palacio,23737,2020,true,6,junio
1,0,0,Bogota,Alfredo Fabio Rios Bermúdez,0,cll 74 #41-22,28,alfredo54@yahoo.com,2025,Qtr 3,agosto,7,M,1899-12-30 11:04:01,"","",Tarjeta Crédito,Apple MacBook Pro 14,"","",Apple,8000000,0,0,8000000,0,0,TechCore Bogota #1,'+34946 432 219,80000000,Poncio Gabriel Poza Acedo,18338,2025,true,8,agosto
1,0,0,Bogota,Alfredo Tudela Sabater,5,cra 18 #49-61,40,alfredo50@hotmail.com,2025,Qtr 1,marzo,20,M,1899-12-30 17:38:16,"","",No especificado,Acer Aspire 5,"","",Acer,2000000,0,0,2000000,0,0,TechCore Bogota #1,'+34827 62 61 40,19000000,Griselda Arnaiz Palacio,2938,2025,true,3,marzo
1,0,0,Bogota,Alicia Tejera Quintero,0,cra 46 #75-75,30,alicia28@yahoo.com,2021,Qtr 3,agosto,22,F,1899-12-30 14:09:15,"","",Tarjeta Débito,Dell Latitude 7420,"","",Dell,5600000,0,0,5600000,0,0,TechCore Bogota #1,'+34 947005400,56000000,Poncio Gabriel Poza Acedo,13152,2021,true,8,agosto
1,0,0,Bogota,Alma Echevarría-Buendía,0,cll 56 #80-89,25,alma47@hotmail.com,2025,Qtr 1,enero,17,F,1899-12-30 22:42:15,"","",Tarjeta Crédito,Apple MacBook Pro 14,"","",Apple,8000000,0,0,8000000,0,0,TechCore Bogota #1,'+34972 42 63 82,80000000,Griselda Arnaiz Palacio,18281,2025,true,1,enero
1,0,0,Bogota,Alondra Baró Tena,5,cra 40 #49-81,22,alondra49@gmail.com,2025,Qtr 1,marzo,12,F,1899-12-30 19:54:56,"","",Efectivo,HP Envy 13,"","",HP,4000000,0,0,4000000,0,0,TechCore Bogota #1,'+34 851126406,38000000,Griselda Arnaiz Palacio,24427,2025,true,3,marzo
1,0,0,Bogota,Alonso Blasco,0,cra 3 #51-53,37,alonso80@hotmail.com,2021,Qtr 1,marzo,14,M,1899-12-30 17:42:14,"","",Tarjeta Crédito,Lenovo Yoga 7i,"","",Lenovo,4400000,0,0,4400000,0,0,TechCore Bogota #2,'+34 887 606 894,44000000,Edu Juan Pedraza,24807,2021,true,3,marzo
1,0,0,Bogota,Alonso Ochoa Aguilar,0,cra 80 #67-29,28,alonso44@gmail.com,2015,Qtr 3,agosto,14,M,1899-12-30 06:41:30,"","",Billetera Digital,Acer Swift 3,"","",Acer,2600000,0,0,2600000,0,0,TechCore Bogota #2,'+34941997165,26000000,Herminia Meléndez-Huguet,12335,2015,true,8,agosto
1,0,0,Bogota,Álvaro Alonso Guillén,0,cll 66 #85-88,45,álvaro62@gmail.com,2016,Qtr 4,noviembre,9,M,1899-12-30 02:39:48,"","",Tarjeta Crédito,Dell XPS 13,"","",Dell,4800000,0,0,4800000,0,0,TechCore Bogota #1,'+34872 943 890,48000000,Poncio Gabriel Poza Acedo,13721,2016,true,11,noviembre
